
Forward benchmarks (median execution time; plan/setup excluded)
FFmpeg AVTX native dispatch and an SSE4.2-and-below restricted plan are reported through N=131072.
         N  algorithm                   median us    speedup   theory FLOPs     GFLOP/s  samples
      1024  tangent                        12.249     1.630x          33968       2.773     6268
      1024  tangent-x86-asm                 2.373     8.414x          33968      14.314    16384
      1024  tangent-sse                     4.899     4.076x          33968       6.934    16384
      1024  tangent-sse2                    4.899     4.076x          33968       6.934    16384
      1024  tangent-sse3                    4.807     4.154x          33968       7.066    16384
      1024  tangent-ssse3                   4.809     4.152x          33968       7.063    16384
      1024  tangent-sse4.1                  4.798     4.162x          33968       7.080    16384
      1024  tangent-sse4.2                  4.796     4.163x          33968       7.083    16384
      1024  lane4-c                        10.635     1.877x            n/a         n/a     7679
      1024  lane4-sse                       2.293     8.708x            n/a         n/a    16384
      1024  lane4-sse2                      2.231     8.950x            n/a         n/a    16384
      1024  lane4-sse3                      2.224     8.978x            n/a         n/a    16384
      1024  lane4-ssse3                     2.234     8.938x            n/a         n/a    16384
      1024  lane4-sse4.1                    2.229     8.958x            n/a         n/a    16384
      1024  lane4-sse4.2                    2.223     8.982x            n/a         n/a    16384
      1024  lane4-avx                       1.543    12.940x            n/a         n/a    16384
      1024  lane4-avx-fma                   1.457    13.704x            n/a         n/a    16384
      1024  lane4-avx2                      1.531    13.042x            n/a         n/a    16384
      1024  lane4-avx2-fma                  1.485    13.446x            n/a         n/a    16384
      1024  lane2-sse                       2.454     8.137x            n/a         n/a    16384
      1024  ffmpeg-avtx                     2.171     9.197x            n/a         n/a    16384
      1024  lane8-avx2-fma                  1.567    12.742x            n/a         n/a    16384
      1024  hw-sse-auto                     2.226     8.970x            n/a         n/a    16384
      1024  ffmpeg-sse                      9.481     2.106x            n/a         n/a     9140
      1024  scaled-h16-hybrid              15.911     1.255x            n/a         n/a     5519
      1024  scaled-h16-paired-avx2         13.648     1.463x            n/a         n/a     6614

      2048  radix-2                        42.184     1.000x          92176       2.185     1954
      2048  split-radix                    43.873     0.962x          77832       1.774     2050
      2048  tangent                        26.018     1.621x          75688       2.909     3560
      2048  tangent-x86-asm                 4.834     8.727x          75688      15.657    16384
      2048  tangent-sse                    10.571     3.991x          75688       7.160     8177
      2048  tangent-sse2                   10.392     4.059x          75688       7.283     8469
      2048  tangent-sse3                   10.150     4.156x          75688       7.457     8978
      2048  tangent-ssse3                  10.570     3.991x          75688       7.161     8824
      2048  tangent-sse4.1                 10.455     4.035x          75688       7.239     8534
      2048  tangent-sse4.2                 10.180     4.144x          75688       7.435     8138
      2048  lane4-c                        23.901     1.765x            n/a         n/a     3547
      2048  lane4-sse                       6.122     6.891x            n/a         n/a    13964
      2048  lane4-sse2                      6.095     6.921x            n/a         n/a    15326
      2048  lane4-sse3                      6.146     6.864x            n/a         n/a    14890
      2048  lane4-ssse3                     6.089     6.928x            n/a         n/a    15226
      2048  lane4-sse4.1                    6.096     6.920x            n/a         n/a    14517
      2048  lane4-sse4.2                    6.077     6.942x            n/a         n/a    14531
      2048  lane4-avx                       4.286     9.842x            n/a         n/a    16384
      2048  lane4-avx-fma                   4.268     9.884x            n/a         n/a    16384
      2048  lane4-avx2                      4.240     9.949x            n/a         n/a    16384
      2048  lane4-avx2-fma                  4.044    10.431x            n/a         n/a    16384
      2048  lane2-sse                       6.029     6.997x            n/a         n/a    15459
      2048  ffmpeg-avtx                     4.345     9.709x            n/a         n/a    16384
      2048  lane8-avx2-fma                  3.565    11.833x            n/a         n/a    16384
      2048  hw-sse-auto                     6.084     6.934x            n/a         n/a    13687
      2048  ffmpeg-sse                     20.104     2.098x            n/a         n/a     3956
      2048  scaled-h16-hybrid              36.602     1.153x            n/a         n/a     1928
      2048  scaled-h16-paired-avx2         29.529     1.429x            n/a         n/a     3143

      4096  radix-2                        95.030     1.000x         204816       2.155      950
      4096  split-radix                    95.876     0.991x         172040       1.794      929
      4096  tangent                        55.568     1.710x         166856       3.003     1673
      4096  tangent-x86-asm                11.067     8.587x         166856      15.077     8414
      4096  tangent-sse                    23.358     4.068x         166856       7.143     3838
      4096  tangent-sse2                   22.753     4.177x         166856       7.333     3874
      4096  tangent-sse3                   22.299     4.262x         166856       7.483     4064
      4096  tangent-ssse3                  22.311     4.259x         166856       7.479     4018
      4096  tangent-sse4.1                 22.605     4.204x         166856       7.382     4032
      4096  tangent-sse4.2                 22.341     4.254x         166856       7.469     4045
      4096  lane4-c                        52.580     1.807x            n/a         n/a     1710
      4096  lane4-sse                      13.206     7.196x            n/a         n/a     6498
      4096  lane4-sse2                     13.505     7.037x            n/a         n/a     6869
      4096  lane4-sse3                     13.239     7.178x            n/a         n/a     6728
      4096  lane4-ssse3                    13.195     7.202x            n/a         n/a     6925
      4096  lane4-sse4.1                   13.340     7.124x            n/a         n/a     6895
      4096  lane4-sse4.2                   13.297     7.147x            n/a         n/a     6650
      4096  lane4-avx                       9.944     9.557x            n/a         n/a     8842
      4096  lane4-avx-fma                   9.165    10.369x            n/a         n/a     9816
      4096  lane4-avx2                      9.980     9.522x            n/a         n/a     9268
      4096  lane4-avx2-fma                  9.331    10.184x            n/a         n/a     9877
      4096  lane2-sse                      13.323     7.133x            n/a         n/a     6956
      4096  ffmpeg-avtx                    10.913     8.708x            n/a         n/a     8405
