n,algorithm,median_us,minimum_us,maximum_us,spread_percent
1024,lane4-sse4.1,2.228000000,2.225000000,2.229000000,0.180
1024,lane4-sse4.2,2.224000000,2.223000000,2.288000000,2.924
1024,lane4-avx,1.554000000,1.543000000,1.568000000,1.620
1024,lane4-avx-fma,1.451000000,1.435000000,1.457000000,1.533
1024,lane4-avx2,1.534000000,1.531000000,1.610000000,5.160
1024,lane4-avx2-fma,1.485000000,1.459000000,1.490000000,2.125
1024,lane2-sse,2.454000000,2.441000000,2.530000000,3.646
1024,ffmpeg-avtx,2.160000000,2.119000000,2.171000000,2.454
1024,lane8-avx2-fma,1.567000000,1.566000000,1.569000000,0.192
1024,hw-sse-auto,2.229000000,2.226000000,2.289000000,2.830
1024,ffmpeg-sse,9.481000000,9.477000000,10.453000000,10.299
1024,scaled-h16-hybrid,15.911000000,15.866000000,16.391500000,3.312
1024,scaled-h16-paired-avx2,13.648000000,13.632000000,14.001000000,2.707
2048,radix-2,42.184000000,42.136000000,43.510500000,3.262
2048,split-radix,43.872500000,42.601000000,44.072000000,3.453
2048,tangent,25.967000000,25.926000000,26.018000000,0.355
2048,tangent-x86-asm,4.747000000,4.739000000,4.834000000,2.005
2048,tangent-sse,10.571000000,10.358000000,10.637000000,2.694
2048,tangent-sse2,10.376000000,10.354000000,10.392000000,0.367
2048,tangent-sse3,10.393000000,10.150000000,10.415000000,2.611
2048,tangent-ssse3,10.414000000,10.100000000,10.570000000,4.653
2048,tangent-sse4.1,10.162000000,10.100000000,10.455000000,3.515
2048,tangent-sse4.2,10.171000000,10.149000000,10.180000000,0.305
2048,lane4-c,23.887000000,23.177000000,23.901000000,3.124
2048,lane4-sse,6.122000000,6.076000000,6.214000000,2.271
2048,lane4-sse2,6.095000000,6.085000000,6.139000000,0.887
2048,lane4-sse3,6.135500000,6.087000000,6.146000000,0.969
2048,lane4-ssse3,6.097000000,6.089000000,6.222000000,2.184
2048,lane4-sse4.1,6.106000000,6.096000000,6.235000000,2.280
2048,lane4-sse4.2,6.095000000,6.077000000,6.223000000,2.403
2048,lane4-avx,4.333000000,4.286000000,4.395000000,2.543
2048,lane4-avx-fma,4.305000000,4.268000000,4.367000000,2.320
2048,lane4-avx2,4.263000000,4.240000000,4.270000000,0.708
2048,lane4-avx2-fma,4.044000000,4.021000000,4.114000000,2.313
2048,lane2-sse,6.129000000,6.029000000,6.185000000,2.587
2048,ffmpeg-avtx,4.361000000,4.345000000,4.399000000,1.243
2048,lane8-avx2-fma,3.539000000,3.534000000,3.565000000,0.877
2048,hw-sse-auto,6.121000000,6.084000000,6.190000000,1.742
2048,ffmpeg-sse,20.121000000,20.104000000,20.158000000,0.269
2048,scaled-h16-hybrid,35.595000000,34.679000000,36.602000000,5.545
2048,scaled-h16-paired-avx2,28.677000000,28.571000000,29.529000000,3.353
4096,radix-2,94.532000000,93.791000000,95.030000000,1.321
4096,split-radix,95.812000000,92.659500000,95.876000000,3.471
4096,tangent,57.448000000,55.568000000,57.521000000,3.515
4096,tangent-x86-asm,11.368000000,11.067000000,11.547000000,4.337
4096,tangent-sse,23.322000000,22.873000000,23.358000000,2.120
4096,tangent-sse2,23.473000000,22.753000000,23.552000000,3.512
4096,tangent-sse3,22.444500000,22.299000000,23.092000000,3.556
4096,tangent-ssse3,22.466000000,22.311000000,23.130000000,3.671
4096,tangent-sse4.1,22.960000000,22.604500000,23.035000000,1.904
4096,tangent-sse4.2,22.460000000,22.341000000,22.490000000,0.667
4096,lane4-c,52.462000000,50.958000000,52.580000000,3.183
4096,lane4-sse,13.224000000,13.206000000,13.861500000,4.964
4096,lane4-sse2,13.505000000,13.274000000,13.899000000,4.708
