n,algorithm,median_us,minimum_us,samples,theoretical_flops,speedup_vs_radix2,checksum
4096,tangent-sse,22.873000000,22.419000000,3615,166856,4.100512,-8.3144645690917969
4096,tangent-sse2,23.473000000,22.388000000,3405,166856,3.995697,-8.3144645690917969
4096,tangent-sse3,22.444500000,22.033000000,3698,166856,4.178797,-8.3144645690917969
4096,tangent-ssse3,22.466000000,22.011000000,3568,166856,4.174797,-8.3144645690917969
4096,tangent-sse4.1,23.035000000,22.019000000,3839,166856,4.071674,-8.3144645690917969
4096,tangent-sse4.2,22.460000000,22.001000000,3624,166856,4.175913,-8.3144645690917969
4096,lane4-c,50.958000000,50.791000000,1598,0,1.840555,-8.3144588470458984
4096,lane4-sse,13.861500000,13.125000000,6506,0,6.766295,-8.3144454956054688
4096,lane4-sse2,13.899000000,13.177000000,6366,0,6.748039,-8.3144454956054688
4096,lane4-sse3,13.871000000,13.094000000,6099,0,6.761661,-8.3144454956054688
4096,lane4-ssse3,13.862000000,13.217000000,6390,0,6.766051,-8.3144454956054688
4096,lane4-sse4.1,13.852000000,13.264000000,6337,0,6.770936,-8.3144454956054688
4096,lane4-sse4.2,13.878000000,13.127000000,6082,0,6.758250,-8.3144454956054688
4096,lane4-avx,9.893000000,9.504000000,8871,0,9.480542,-8.314453125
4096,lane4-avx-fma,9.506000000,9.155000000,8695,0,9.866505,-8.3144474029541016
4096,lane4-avx2,10.557000000,9.981000000,8399,0,8.884247,-8.314453125
4096,lane4-avx2-fma,10.041000000,9.424000000,8387,0,9.340803,-8.3144474029541016
4096,lane2-sse,13.735500000,13.260000000,6010,0,6.828364,-8.3144493103027344
4096,ffmpeg-avtx,10.895000000,10.371000000,7901,0,8.608628,-8.3144493103027344
4096,lane8-avx2-fma,9.465000000,8.988000000,9527,0,9.909245,-8.3144741058349609
4096,hw-sse-auto,13.791500000,13.165000000,6682,0,6.800638,-8.3144454956054688
4096,ffmpeg-sse,45.897500000,43.919000000,1862,0,2.043488,-8.3144550323486328
4096,scaled-h16-hybrid,76.338000000,73.263000000,1087,0,1.228628,-8.314453125
4096,scaled-h16-paired-avx2,60.605500000,58.337000000,1394,0,1.547566,-8.314453125
8192,radix-2,224.459000000,209.261000000,407,450576,1.000000,113.59976196289062
8192,split-radix,207.327000000,199.040000000,434,376840,1.082633,113.59983825683594
8192,tangent,125.642000000,120.633000000,709,364680,1.786497,113.59983062744141
8192,tangent-x86-asm,27.760500000,26.114000000,3168,364680,8.085553,113.59983062744141
8192,tangent-sse,53.728500000,50.214000000,1566,364680,4.177652,113.59983062744141
8192,tangent-sse2,84.311500000,50.366000000,1264,364680,2.662258,113.59983062744141
8192,tangent-sse3,52.011500000,49.374000000,1694,364680,4.315565,113.59983062744141
8192,tangent-ssse3,52.410000000,49.420000000,1600,364680,4.282751,113.59983062744141
8192,tangent-sse4.1,52.088000000,49.468000000,1693,364680,4.309227,113.59983062744141
8192,tangent-sse4.2,51.611000000,49.329000000,1735,364680,4.349053,113.59983062744141
8192,lane4-c,114.205000000,109.512000000,731,0,1.965404,113.59980773925781
8192,lane4-sse,32.538000000,31.005000000,2605,0,6.898365,113.59982299804688
8192,lane4-sse2,32.532000000,30.965000000,2690,0,6.899637,113.59982299804688
8192,lane4-sse3,31.651000000,30.977000000,2931,0,7.091687,113.59982299804688
8192,lane4-ssse3,31.647000000,30.906000000,2811,0,7.092584,113.59982299804688
8192,lane4-sse4.1,31.719000000,31.008000000,2668,0,7.076484,113.59982299804688
8192,lane4-sse4.2,31.681000000,30.990000000,2711,0,7.084972,113.59982299804688
8192,lane4-avx,22.235000000,21.751000000,3962,0,10.094850,113.59980773925781
8192,lane4-avx-fma,21.714000000,21.192000000,4085,0,10.337064,113.59982299804688
8192,lane4-avx2,22.545000000,22.050000000,3849,0,9.956043,113.59980773925781
8192,lane4-avx2-fma,21.950000000,21.449000000,4003,0,10.225923,113.59982299804688
8192,lane2-sse,31.613000000,30.999000000,2589,0,7.100212,113.59979248046875
8192,ffmpeg-avtx,25.708000000,24.858000000,3392,0,8.731095,113.59982299804688
8192,lane8-avx2-fma,19.423000000,18.879000000,4453,0,11.556351,113.59980773925781
8192,hw-sse-auto,31.655000000,30.936000000,2799,0,7.090791,113.59982299804688
8192,ffmpeg-sse,103.508000000,98.454000000,805,0,2.168518,113.59981536865234
8192,scaled-h16-hybrid,170.478000000,156.888000000,498,0,1.316645,113.59983062744141
8192,scaled-h16-paired-avx2,130.078500000,124.333000000,660,0,1.725566,113.59983062744141
